"first_name,""last_name"",""email"""
"Modupe,""Abdullahi"",""modupe.abdullahi@gmail.com"""
"Monday,""Abdullahi"",""monday.abdullahi@gmail.com"""
"Adannaya,""Abiodun"",""adannaya.abiodun@outlook.com"""
"Emmanuel,""Abiodun"",""emmanuel.abiodun@gmail.com"""
"Simisola,""Abiodun"",""simisola.abiodun@gmail.com"""
"Victor,""Abiodun"",""victor.abiodun@gmail.com"""
"Nkechi,""Abioye"",""nkechi.abioye@gmail.com"""
"Nnamdi,""Abioye"",""nnamdi.abioye@gmail.com"""
"Simisola,""Abioye"",""simisola.abioye@gmail.com"""
"Victor,""Abioye"",""victor.abioye@gmail.com"""
"Bayo,""Abubakar"",""bayo.abubakar@yahoo.com"""
"Hadiza,""Abubakar"",""hadiza.abubakar@gmail.com"""
"Iniobong,""Abubakar"",""iniobong.abubakar@gmail.com"""
"Chidinma,""Acheampong"",""chidinma.acheampong@gmail.com"""
"Ikechukwu,""Adekunle"",""ikechukwu.adekunle@outlook.com"""
"Ngozi,""Adeola"",""ngozi.adeola@hotmail.com"""
"Temi,""Adeosun"",""temi.adeosun@gmail.com"""
"Chidi,""Adepoju"",""chidi.adepoju@gmail.com"""
"Josephine,""Adepoju"",""josephine.adepoju@gmail.com"""
"Faith,""Aderemi"",""faith.aderemi@gmail.com"""
"Chibundo,""Adesanya"",""chibundo.adesanya@gmail.com"""
"Jumoke,""Adesanya"",""jumoke.adesanya@gmail.com"""
"Peace,""Adesanya"",""peace.adesanya@gmail.com"""
"Precious,""Adesanya"",""precious.adesanya@gmail.com"""
"Chibundo,""Adesola"",""chibundo.adesola@yahoo.com"""
"Chinyere,""Adesola"",""chinyere.adesola@gmail.com"""
"Usman,""Adetunji"",""usman.adetunji@yahoo.com"""
"Abimbola,""Adewale"",""abimbola.adewale@gmail.com"""
"Bashir,""Adewale"",""bashir.adewale@gmail.com"""
"Chiamaka,""Adewale"",""chiamaka.adewale@gmail.com"""
"Agnes,""Adeyinka"",""agnes.adeyinka@gmail.com"""
"Temi,""Adeyinka"",""temi.adeyinka@gmail.com"""
"Kola,""Afolabi"",""kola.afolabi@hotmail.com"""
"Oluchi,""Afolabi"",""oluchi.afolabi@hotmail.com"""
"Stella,""Afolabi"",""stella.afolabi@gmail.com"""
"Chidi,""Agu"",""chidi.agu@outlook.com"""
"Ifeoma,""Agu"",""ifeoma.agu@gmail.com"""
"Joy,""Agu"",""joy.agu@icloud.com"""
"Sunday,""Agu"",""sunday.agu@live.com"""
"Aisha,""Agyemang"",""aisha.agyemang@yahoo.com"""
"Ibrahim,""Agyemang"",""ibrahim.agyemang@gmail.com"""
"Abubakar,""Akindele"",""abubakar.akindele@yahoo.com"""
"Favour,""Akindele"",""favour.akindele@icloud.com"""
"Olabisi,""Alabi"",""olabisi.alabi@gmail.com"""
"Temidayo,""Alabi"",""temidayo.alabi@gmail.com"""
"Temidayo,""Alabi"",""temidayo.alabi1@gmail.com"""
"Adamu,""Aliyu"",""adamu.aliyu@live.com"""
"Ayodeji,""Aliyu"",""ayodeji.aliyu@yahoo.com"""
"Sani,""Aliyu"",""sani.aliyu@hotmail.com"""
"James,""Amadi"",""james.amadi@gmail.com"""
"Modupe,""Amponsah"",""modupe.amponsah@gmail.com"""
"Bilkisu,""Aneke"",""bilkisu.aneke@yahoo.com"""
"Ifeoma,""Aneke"",""ifeoma.aneke@gmail.com"""
"Gbenga,""Asante"",""gbenga.asante@gmail.com"""
"Hadiza,""Asante"",""hadiza.asante@outlook.com"""
"Olabisi,""Asante"",""olabisi.asante@hotmail.com"""
"Oluchi,""Asante"",""oluchi.asante@gmail.com"""
"Segun,""Asante"",""segun.asante@hotmail.com"""
"Bassey,""Bello"",""bassey.bello@yahoo.com"""
"Lanre,""Bello"",""lanre.bello@gmail.com"""
"Segun,""Bello"",""segun.bello@icloud.com"""
"Ebele,""Boateng"",""ebele.boateng@gmail.com"""
"Daniel,""Danladi"",""daniel.danladi@live.com"""
"Obiora,""Danladi"",""obiora.danladi@outlook.com"""
"Chidi,""Danso"",""chidi.danso@gmail.com"""
"Ibrahim,""Danso"",""ibrahim.danso@gmail.com"""
"Ebele,""Dike"",""ebele.dike@gmail.com"""
"Gift,""Dike"",""gift.dike@gmail.com"""
"Joshua,""Dike"",""joshua.dike@yahoo.com"""
"Maryam,""Dike"",""maryam.dike@gmail.com"""
"Stella,""Dike"",""stella.dike@icloud.com"""
"Temidayo,""Dike"",""temidayo.dike@gmail.com"""
"Uche,""Dike"",""uche.dike@gmail.com"""
"Stella,""Dim"",""stella.dim@icloud.com"""
"Sunday,""Dim"",""sunday.dim@outlook.com"""
"Patricia,""Ekwueme"",""patricia.ekwueme@outlook.com"""
"Obinna,""Falola"",""obinna.falola@gmail.com"""
"Oluwakemi,""Falola"",""oluwakemi.falola@yahoo.com"""
"Daniel,""Fashola"",""daniel.fashola@live.com"""
"David,""Fashola"",""david.fashola@gmail.com"""
"Wale,""Fashola"",""wale.fashola@gmail.com"""
"Adamu,""Hassan"",""adamu.hassan@outlook.com"""
"Amina,""Hassan"",""amina.hassan@gmail.com"""
"Ayodeji,""Hassan"",""ayodeji.hassan@gmail.com"""
"Dele,""Hassan"",""dele.hassan@outlook.com"""
